"Feature","feat_area","upgr_area","total_upgr_area","pct_of_upgr","pct_of_feat"
"L_MOISTFOR",9036640.12491985,2244915.80275893,4445464.42836826,0.504990162205153,0.248423725159558
"P_DRYFOR",5742755.70682319,2019752.18167475,4445464.42836826,0.454339971496771,0.351704353238464
"L_IBAA1",14069913.1941575,1480256.38638496,4445464.42836826,0.332981268939834,0.105207215279739
"L_IFL",11908070.0404841,1418952.26541974,4445464.42836826,0.319191006538,0.119158878021014
"P_IBAA3",5589215.605562,691563.359496572,4445464.42836826,0.155566054040031,0.123731737743017
"L_KBAA1AE",5844982.6844428,659297.120171071,4445464.42836826,0.148307815931185,0.112797104074556
"P_KBAA1B",6301581.55432731,653370.584716307,4445464.42836826,0.146974651410298,0.103683587855439
"P_IBAA2",4262379.85408027,575182.330299245,4445464.42836826,0.129386330622461,0.134943939768446
"L_RAMSALL",4685096.49378376,531646.527893054,4445464.42836826,0.119593022609833,0.113476110598458
"L_CLOUDFR",1566894.96387651,481939.501911774,4445464.42836826,0.10841150788123,0.307576138172946
"L_KBAB1",7141933.92771982,473945.750138625,4445464.42836826,0.106613326408415,0.0663609821842667
"P_VUCRD",6297781.91718411,406536.370082972,4445464.42836826,0.0914496958942474,0.0645523099130661
"P_GRTAPES",4935303.21200153,397592.19993447,4445464.42836826,0.0894377193521734,0.0805608455763401
"L_WHS",5622260.9494145,388251.124009681,4445464.42836826,0.087336459500631,0.0690560483589993
"L_KBAD1A",8653636.67599003,365097.400627854,4445464.42836826,0.0821280670469488,0.0421900542278181
"L_IBAA4",11999973.8025542,332634.69574374,4445464.42836826,0.0748256343299177,0.0277196184939119
"P_IMMAC123",12812643.5837048,327862.155391006,4445464.42836826,0.0737520591321772,0.0255889546329053
"L_IMMAB2",5461827.77742112,284841.256618734,4445464.42836826,0.0640745778553641,0.0521512702755388
"L_ENCRD",1455329.91074812,281242.825141375,4445464.42836826,0.063265116541402,0.19325021980535
"P_IMMAD1",2789034.51736014,264175.779148754,4445464.42836826,0.0594259122765541,0.0947194369608591
"L_IUCNMGMT",11458494.3769769,234397.40993063,4445464.42836826,0.0527273165059757,0.0204562137239946
"P_IMMAB1",8446285.90832527,197704.525206357,4445464.42836826,0.0444733117072598,0.0234072736054892
"P_IMMAD2",5159217.58634894,192469.619130746,4445464.42836826,0.0432957280914276,0.0373059705099493
"L_RAMS13",2404785.15981186,174275.681078405,4445464.42836826,0.0392030312887633,0.0724703744812031
"L_AZE",2086824.38939927,167071.858768634,4445464.42836826,0.0375825431652277,0.0800603345529853
"L_CRCRD",2541598.38478247,161593.1147526,4445464.42836826,0.0363501086008946,0.0635793269779051
"L_RAMS2",2186159.70758536,138887.525147381,4445464.42836826,0.031242523112115,0.0635303654465314
"L_RAMS56",2085820.91497454,129942.15706275,4445464.42836826,0.0292302770962551,0.0622978493167212
"P_RAMS4789",1989565.8224528,129898.919227179,4445464.42836826,0.029220550815398,0.0652900837766884
"P_COLDREEF",840761.706525362,116633.688874131,4445464.42836826,0.0262365588013359,0.138723835741932
"P_KBAD1B",237894.236758643,80794.4880367323,4445464.42836826,0.0181745888058739,0.339623561871752
"P_IBAB1B",328222.424486797,41133.7455148003,4445464.42836826,0.00925296921786387,0.125322776404191
"L_TIGERCL",262665.511435572,37228.45432887,4445464.42836826,0.00837448031105604,0.141733317501036
"P_EVERWET",802494.540559758,20467.1892973933,4445464.42836826,0.00460406097657292,0.0255044592367158
"L_IRREPL",2518507.33571933,15880.7332874992,4445464.42836826,0.00357234514939721,0.00630561327428628
"P_IMMAA",4809043.8605839,10386.1716085744,4445464.42836826,0.00233635242749805,0.00215971654858506
"L_COLDREEF",14034.0829469711,2143.54307782114,4445464.42836826,0.000482186532444697,0.152738378839621
"L_WARMREEF",446801.072137566,1724.55180142602,4445464.42836826,0.000387935125612742,0.00385977543244356
"P_SEAMOUNT",23882.9338276865,528.458492875919,4445464.42836826,0.00011887587931277,0.022127034169617
"L_SEAGRSS",413612.54072343,350.042443507493,4445464.42836826,7.87414789045965e-05,0.000846305198810584
"L_MANGROVE",114981.699048808,164.435243650745,4445464.42836826,3.6989440878532e-05,0.00143009926806651
"L_SALTM",157971.175309118,163.454151571379,4445464.42836826,3.67687458093948e-05,0.00103470871348227
"P_TRTLALL",2687.42210130024,110.603544995385,4445464.42836826,2.48800877338215e-05,0.0411560003699726
"L_TRTLCREN",1847.67766009114,93.2224647154744,4445464.42836826,2.09702419663028e-05,0.0504538571467471
"P_KBAD3",1321.59673380918,15.6545456552625,4445464.42836826,3.52146460904391e-06,0.0118451758049841
"L_HYDRO",487.132720823376,4.4170561010344,4445464.42836826,9.9360959292519e-07,0.00906745926155088
"P_HYDRO",530.187583987862,4.4170561010344,4445464.42836826,9.9360959292519e-07,0.00833111946494682
"L_COLDSEEP",1308.56156415416,0.489465975296974,4445464.42836826,1.10104575839928e-07,0.000374048870687533
"P_COLDSEEP",126.674050138373,0.489465975296974,4445464.42836826,1.10104575839928e-07,0.00386397983456205
"L_KBAD2",5.1245222911182,0,4445464.42836826,0,0
"P_KBAB4",321.783164073389,0,4445464.42836826,0,0
"P_KBAE",72.7749995957117,0,4445464.42836826,0,0
